"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"SARS-CoV-2 antibody seroprevalence in Canadians, by age group and sex, November 2020 to April 2021",13100818,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310081801",1;2;3,"CURRENT - a cube available to the public and that is current",Occasional,2021-01-01,2021-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Measure,,
3,"Sex at birth",,
4,"Age group",,
5,Characteristics,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Atlantic Region",[1],2,1,,4;5,
1,Quebec,[24],3,1,,,
1,Ontario,[35],4,1,,,
1,Manitoba,[46],5,1,,,
1,Saskatchewan,[47],6,1,,,
1,Alberta,[48],7,1,,,
1,"British Columbia",[59],8,1,,,
1,Territories,[6],9,1,,5;6;7,
2,"Antibody seroprevalence - Overall",,1,,,3,
2,"Antibody seroprevalence - Infection",,2,,,3,
2,"Antibody seroprevalence - Vaccination",,3,,,3,
3,"Both sexes",,1,,,,
3,Males,,2,1,,,
3,Females,,3,1,,,
4,"Ages 1 and over",,1,,,,
4,"Ages 1 to 19",,2,1,,,
4,"Ages 20 to 59",,3,1,,,
4,"Ages 60 and over",,4,1,,,
5,Percent,,1,,,8,
5,"Low 95% confidence interval, percent",,2,,,,
5,"High 95% confidence interval, percent",,3,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
5339,"Canadian COVID-19 Antibody and Health Survey (CCAHS)"

"Subject Code","Subject Name"
13,Health

"Note ID",Note
1,"Source: Canadian COVID-19 Antibody and Health Survey (CCAHS)."
2,"SARS-CoV-2 is the virus that causes COVID-19. "
3,"The proportion of Canadians who have SARS-CoV-2 antibodies is referred to as the seroprevalence of SARS-CoV-2 antibodies."
4,"Atlantic Region (New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador)."
5,"In some instances, multiple Provinces or Territories were combined to provide a better estimate of the entire region. "
6,"Territories Region (Yukon, The Northwest Territories and Nunavut)."
7,"Territorial estimates were compiled based on sampling of each territorial capital. Results are not necessarily representative of the Territories Region."
8,"Data users should consider the confidence intervals in their assessment of point estimates as high variability may exist in the data.
			"

"Correction ID","Correction Date","Correction Note"


